Oración original,label original,Puntaje Positivo,Puntaje Negativo,Resultado de inferencia,tiempo de ejecución
pissed at time warner for causin me to have slow internet problems,,0.0,0.408,Negativo,0.01137542724609375
ummm having some time warner problems,,0.0,0.351,Negativo,0.009958505630493164
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment,,0.104,0.233,Neutro,0.009616851806640625
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside,,0.0,0.133,Negativo,0.010136127471923828
rt new time warner slogan time warner where we make you long for the days before cable,,0.0,0.0,Negativo,0.01032876968383789
confirmed it s time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon,,0.0,0.119,Negativo,0.009538888931274414
time warner epic fail,,0.0,0.538,Negativo,0.010849237442016602
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm,,0.0,0.245,Negativo,0.009669065475463867
gm files bankruptcy not a good sign,,0.0,0.325,Negativo,0.00988149642944336
yankees won mets lost its a good day,,0.512,0.178,Positivo,0.009364843368530273
my dentist appt today was actually quite enjoyable,,0.313,0.0,Negativo,0.009998083114624023
i hate the effing dentist,,0.0,0.552,Negativo,0.004040956497192383
i hate going to the dentist,,0.0,0.481,Negativo,0.009227991104125977
i hate the dentist who invented them anyways,,0.0,0.381,Negativo,0.009653329849243164
this dentist s office is cold,,0.0,0.0,Negativo,0.010100603103637695
just applied at safeway yeeeee,,0.0,0.0,Negativo,0.009178400039672852
safeway place is a nightmare right now bumming,,0.0,0.0,Negativo,0.009155511856079102
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt,,0.102,0.316,Neutro,0.00989532470703125
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond,,0.301,0.0,Negativo,0.009508609771728516
have you tried nike v addictive,,0.0,0.0,Negativo,0.009501934051513672
the nike training club beta iphone app looks very interesting,,0.25,0.0,Negativo,0.009169816970825195
argghhhh why won t my jquery appear in safari bad safari,,0.243,0.23,Neutro,0.011159896850585938
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,,0.253,0.177,Neutro,0.026132583618164062
super investors a great weekend read here from warren buffet oldie but a goodie,,0.333,0.0,Negativo,0.009209632873535156
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio,,0.306,0.0,Negativo,0.011883020401000977
i mean i m down with notre dame if i have to it s a good school i d be closer to dan i d enjoy it,,0.289,0.0,Negativo,0.009850025177001953
i can t watch tv without a tivo and after all these years the time warner dvr still sucks,,0.0,0.143,Negativo,0.010118961334228516
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,,0.259,0.0,Negativo,0.010416030883789062
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,,0.178,0.111,Neutro,0.004724264144897461
i love my kindle no more stacks of books to trip over on the way to the loo,,0.196,0.103,Neutro,0.014837503433227539
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more,,0.181,0.159,Neutro,0.010887384414672852
its not so much my obsession with cell phones but the iphone i m a slave to at amp t forever because of it,,0.0,0.088,Negativo,0.009901762008666992
fuzzball is more fun than at amp t p,,0.375,0.0,Negativo,0.009691953659057617
today is a good day to dislike at amp t vote out of office indeed,,0.176,0.158,Neutro,0.010132551193237305
got my wave sandbox invite extra excited too bad i have class now but i ll play with it soon enough io wave,,0.241,0.089,Neutro,0.010461568832397461
looks like summize has gone down too many tweets from wwdc perhaps,,0.185,0.0,Negativo,0.009822607040405273
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,,0.658,0.0,Negativo,0.01032400131225586
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,,0.215,0.099,Neutro,0.009427070617675781
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,,0.301,0.0,Negativo,0.010116100311279297
the kindle seems the best ereader but will it work in the uk and where can i get one,,0.133,0.0,Negativo,0.009245157241821289
i have a google addiction thank you for pointing that out hahaha,,0.433,0.0,Negativo,0.010003805160522461
dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me,,0.339,0.194,Neutro,0.009433507919311523
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,,0.302,0.0,Negativo,0.015278816223144531
gonna go see bobby flay moro at shoreline eat and drink gonna be good,,0.182,0.0,Negativo,0.0044629573822021484
can t wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,,0.42,0.0,Negativo,0.009956598281860352
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,,0.115,0.083,Neutro,0.00486445426940918
fighting with latex again,,0.0,0.455,Negativo,0.004579782485961914
we love you too and don t want you to die latex the devil,,0.241,0.364,Neutro,0.004795074462890625
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i can t take any more,,0.071,0.08,Neutro,0.004590749740600586
shit s hitting the fan in iran craziness indeed iranelection,,0.159,0.428,Neutro,0.0158689022064209
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,,0.383,0.148,Positivo,0.010946989059448242
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,,0.358,0.0,Negativo,0.011123895645141602
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,,0.379,0.0,Negativo,0.010057210922241211
i just created my first latex file from scratch that didn t work out very well see it s a great time waster,,0.347,0.0,Negativo,0.00950312614440918
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,,0.307,0.0,Negativo,0.014835596084594727
after using latex a lot any other typeset mathematics just looks hideous,,0.0,0.0,Negativo,0.009657621383666992
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,,0.0,0.52,Negativo,0.010200738906860352
ahhh back in a real text editing environment i lt latex,,0.0,0.0,Negativo,0.009702205657958984
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,,0.0,0.213,Negativo,0.009719610214233398
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,,0.0,0.353,Negativo,0.009744882583618164
